Location,policy_type,details
Evansville,jumping policy,"Skyzone branded socks, SZ NEON TSHIRT, and Skyzone waiver are required to jump otherwise jump sessions are not allowed"
Evansville,glow package policy,"1. Groupons and or any other coupons are not valid for any glow event.
2. NO DROP OFFS for minors 17 yrs and below, PARENTS MUST BE PRESENT TO ENTER AND STAY THE FULL 2 HOURS OF GLOW."
Evansville,Birthday Party Cancellation Policy,You will receive a full refund as long as you cancel at least 72 hours priors to your booking date.
Evansville,Birthday Party Decoration Policy,"You are permitted to bring whatever you would like to decorate your party room, however we do ask that nothing Pinatas, Glitter, Silly String, Confetti are not permitted. We allow balloons (weighted), tablecloths, Your Party Host will help you set up any decorations 15 minutes prior to your room time. Please avoid bringing anything that tapes/sticks to the walls."
Evansville,Birthday Party Booking Policy,For Booking Birthday Party package a 100 dollar deposit is required within 3 hours to confirm a birthday party booking.
Evansville,All Day Pass Check-in Check-out Policy,"The All-Day Pass provides unlimited jump time; however, you must stay at 
the location to use it continuously. If you check out, you will not be 
allowed to re-enter using the same pass"
Evansville,membership cancellation policy,"To cancel your membership, you must submit the online cancellation form, available at H-T-T-P-S colon slash slash S-K-Y-Z-O-N-E dot com slash Evansville slash memberships slash memberships-cancellation slash, five days before your recurring monthly payment date, following the required minimum one-month commitment."
